subject,mode,dice,jaccard
gonzalez_alegre_pilot_09,passive,0.6854,0.56116
gonzalez_alegre_pilot_09,active,0.71356,0.5929
gonzalez_alegre_pilot_13,passive,0.75336,0.63663
gonzalez_alegre_pilot_13,active,0.74322,0.62377
gonzalez_allegre_pilot_05,passive,0.8418,0.74692
gonzalez_alegre_pilot_11,passive,0.44509,0.31425
gonzalez_alegre_pilot_11,active,0.4646,0.33151
gonzalez_alegre_pilot_08,passive,0.62742,0.48972
gonzalez_alegre_pilot_15,passive,0.72979,0.59679
gonzalez_alegre_pilot_15,active,0.73109,0.60097
gonzalez_alegre_pilot_06,passive,0.69505,0.56841
gonzalez_alegre_pilot_06,active,0.70043,0.56768
gonzalez_alegre_pilot_10,passive,0.74802,0.63372
gonzalez_alegre_pilot_10,active,0.69243,0.5653
gonzalez_alegre_pilot_07,passive,0.72826,0.59733
gonzalez_alegre_pilot_07,active,0.78375,0.66767
gonzalez_alegre_pilot_12,passive,0.58366,0.43978
gonzalez_alegre_pilot_12,active,0.74882,0.63548
