,subject,mode,dice,jaccard, dice-bg
0,gonzalez_alegre_pilot_09,passive,0.68557,0.5616,
1,gonzalez_alegre_pilot_09,active,0.71388,0.59346,
2,gonzalez_alegre_pilot_13,passive,0.75351,0.63696,
3,gonzalez_alegre_pilot_13,active,0.74341,0.62408,
4,gonzalez_alegre_pilot_11,passive,0.44538,0.31445,
5,gonzalez_alegre_pilot_11,active,0.46469,0.33157,
6,gonzalez_alegre_pilot_08,passive,0.62799,0.49068,
7,gonzalez_alegre_pilot_15,passive,0.71268,0.58271,
8,gonzalez_alegre_pilot_15,active,0.73095,0.60081,
9,gonzalez_alegre_pilot_05,passive,0.8432,0.74833,
10,gonzalez_alegre_pilot_06,passive,0.69513,0.5686,
11,gonzalez_alegre_pilot_06,active,0.7005,0.56791,
12,gonzalez_alegre_pilot_10,passive,0.74872,0.63483,
13,gonzalez_alegre_pilot_10,active,0.69239,0.56529,
14,gonzalez_alegre_pilot_07,passive,0.72822,0.5973,
15,gonzalez_alegre_pilot_07,active,0.7837,0.66768,
16,gonzalez_alegre_pilot_12,passive,0.58388,0.43994,
17,gonzalez_alegre_pilot_12,active,0.74885,0.63547,
