Measure:volume,Mode,Left-Caudate,Right-Caudate,Caudate,Difference,,Active,614.1,221.2,132.500000000001,160.8,18.5999999999995,334.5,236,82.2000000000007
pilot_05,passive_21,3500.4,5014.7,8515.1,588.700000000001,,Passive,225.1,132.1,149.200000000001,39.1000000000004,776.200000000001,680.400000000001,115.3,52.1000000000004
pilot_05,passive_9,3455.9,4470.5,7926.4,,,,,,,,,,,
pilot_06,active_12,2112.6,2960.4,5073,614.1,,,,,,,,,,
pilot_06,active_24,1858.8,2600.1,4458.9,,,,,,,,,,,
pilot_06,passive_21,1983.9,3144,5127.9,225.1,,,,,,,,,,
pilot_06,passive_9,2094,3259,5353,,,,,,,,,,,
pilot_07,active_12,3143.5,3546.2,6689.7,221.2,,,,,,,,,,
pilot_07,active_24,3306.7,3604.2,6910.9,,,,,,,,,,,
pilot_07,passive_21,3351.4,3591.6,6943,132.1,,,,,,,,,,
pilot_07,passive_9,3237.7,3573.2,6810.9,,,,,,,,,,,
pilot_08,active_24,1647.2,2268.7,3915.9,,,,,,,,,,,
pilot_08,passive_21,1701.6,2111.1,3812.7,135.400000000001,,,,,,,,,,
pilot_08,passive_9,1778.3,2169.8,3948.1,,,,,,,,,,,
pilot_09,active_12,3229.1,3628.2,6857.3,132.500000000001,,,,,,,,,,
pilot_09,active_24,3303.5,3686.3,6989.8,,,,,,,,,,,
pilot_09,passive_21,3222.8,3460.6,6683.4,149.200000000001,,,,,,,,,,
pilot_09,passive_9,3233.4,3599.2,6832.6,,,,,,,,,,,
pilot_10,active_12,3611.1,3561.1,7172.2,160.8,,,,,,,,,,
pilot_10,active_24,3490.4,3521,7011.4,,,,,,,,,,,
pilot_10,passive_21,3522.5,3448,6970.5,39.1000000000004,,,,,,,,,,
pilot_10,passive_9,3525.8,3405.6,6931.4,,,,,,,,,,,
pilot_11,active_12,2302.4,2953.9,5256.3,18.5999999999995,,,,,,,,,,
pilot_11,active_24,2308.3,2929.4,5237.7,,,,,,,,,,,
pilot_11,passive_21,2309.4,2872.1,5181.5,776.200000000001,,,,,,,,,,
pilot_11,passive_9,2074.6,2330.7,4405.3,,,,,,,,,,,
pilot_12,active_12,1614.7,2205.7,3820.4,334.5,,,,,,,,,,
pilot_12,active_24,1615,2539.9,4154.9,,,,,,,,,,,
pilot_12,passive_21,1694.7,2599.4,4294.1,680.400000000001,,,,,,,,,,
