image_name,rthalamus,rcaudate,rpallidum,rputamen,lthalamus,lcaudate,lpallidum,lputamen
Segmentation_hm_05_ABCD_T1w_MPR_vNav_active_RMS.nii.gz,7427,3090,1354,3326,7100,2514,999,3408
Segmentation_hm_05_ABCD_T1w_MPR_vNav_active_RMS_0.nii.gz,7523,2971,1410,3393,7046,2600,1041,3497
Segmentation_hm_05_ABCD_T1w_MPR_vNav_passive_RMS.nii.gz,7530,2999,1307,3447,6714,2686,953,3420
Segmentation_hm_05_ABCD_T1w_MPR_vNav_passive_RMS_0.nii.gz,7400,3005,1282,3415,7279,2575,962,3381
Segmentation_hm_06_ABCD_T1w_MPR_vNav_active_RMS.nii.gz,5580,1413,660,1817,5329,1138,670,1941
Segmentation_hm_06_ABCD_T1w_MPR_vNav_active_RMS_0.nii.gz,5722,1475,621,1809,5217,1207,665,1940
Segmentation_hm_06_ABCD_T1w_MPR_vNav_passive_RMS.nii.gz,5717,1489,639,1839,5460,1198,697,1944
Segmentation_hm_06_ABCD_T1w_MPR_vNav_passive_RMS_0.nii.gz,5926,1517,673,1839,5324,1159,696,1928
Segmentation_hm_07_ABCD_T1w_MPR_vNav_active_RMS.nii.gz,6731,2638,1300,3254,6285,2676,1219,3421
Segmentation_hm_07_ABCD_T1w_MPR_vNav_active_RMS_0.nii.gz,6779,2727,1351,3241,6048,2627,1284,3401
Segmentation_hm_07_ABCD_T1w_MPR_vNav_passive_RMS.nii.gz,6879,2676,1304,3261,6276,2684,1243,3465
Segmentation_hm_07_ABCD_T1w_MPR_vNav_passive_RMS_0.nii.gz,6738,2740,1358,3345,6293,2681,1234,3410
Segmentation_hm_08_ABCD_T1w_MPR_vNav_active_RMS.nii.gz,5596,1088,759,2035,5216,526,858,2320
Segmentation_hm_08_ABCD_T1w_MPR_vNav_active_RMS_0.nii.gz,5691,1197,756,2166,5044,561,762,2262
Segmentation_hm_08_ABCD_T1w_MPR_vNav_passive_RMS.nii.gz,5800,1020,761,2116,5242,583,699,2243
Segmentation_hm_08_ABCD_T1w_MPR_vNav_passive_RMS_0.nii.gz,5438,1254,772,2173,4895,504,781,2285
Segmentation_hm_09_ABCD_T1w_MPR_vNav_active_RMS.nii.gz,8153,3390,1547,3864,6970,2951,1760,4242
Segmentation_hm_09_ABCD_T1w_MPR_vNav_active_RMS_0.nii.gz,7947,3430,1631,3947,6676,2892,1884,4258
Segmentation_hm_09_ABCD_T1w_MPR_vNav_passive_RMS.nii.gz,8160,3356,1604,4005,7022,2977,1715,4163
Segmentation_hm_09_ABCD_T1w_MPR_vNav_passive_RMS_0.nii.gz,7916,3398,1737,4036,6879,2940,1826,4294
Segmentation_hm_12_ABCD_T1w_MPR_vNav_active_RMS.nii.gz,5908,1214,842,1609,5731,491,549,1710
Segmentation_hm_12_ABCD_T1w_MPR_vNav_active_RMS_0.nii.gz,5968,1330,842,1591,5671,552,540,1741
Segmentation_hm_12_ABCD_T1w_MPR_vNav_passive_RMS.nii.gz,5905,1229,857,1618,5983,519,573,1641
Segmentation_hm_12_ABCD_T1w_MPR_vNav_passive_RMS_0.nii.gz,5908,1252,824,1692,5817,237,476,1715
Segmentation_hm_13_ABCD_T1w_MPR_vNav_active_RMS.nii.gz,7733,3525,1595,4648,6775,3234,1477,4631
Segmentation_hm_13_ABCD_T1w_MPR_vNav_active_RMS_0.nii.gz,7734,3503,1547,4640,6690,3215,1460,4609
Segmentation_hm_13_ABCD_T1w_MPR_vNav_passive_RMS.nii.gz,7771,3530,1599,4621,6514,3219,1476,4612
Segmentation_hm_13_ABCD_T1w_MPR_vNav_passive_RMS_0.nii.gz,7788,3540,1594,4617,6729,3202,1398,4554
Segmentation_hm_15_ABCD_T1w_MPR_vNav_active_RMS.nii.gz,7068,2831,1221,3444,6674,2907,1302,3377
Segmentation_hm_15_ABCD_T1w_MPR_vNav_active_RMS_0.nii.gz,7330,2972,1233,3482,6571,2937,1368,3484
Segmentation_hm_15_ABCD_T1w_MPR_vNav_passive_RMS.nii.gz,7203,2967,1270,3479,6588,2955,1319,3446
Segmentation_hm_15_ABCD_T1w_MPR_vNav_passive_RMS_0.nii.gz,7377,3030,1234,3527,6589,2930,1353,3502
